"nombre","web","linkedin","especialidades","ubicacion"
"summant","https://www.summant.com","https://www.linkedin.com/company/summant-technologies","desarrollo de software, tecnologías de información, recursos humanos, cegid partner, it services y software development.",
"suriscode","http://www.suriscode.com","https://www.linkedin.com/company/suris-code-software-factory","time & material, dedicated team, team augmentation, software development, custom software development y software factory.",
"syloper","https://www.syloper.com","https://www.linkedin.com/company/syloper","transformación digital, digital transformation, desarrollo de software, tecnología, technology, innovación, innovation, empresa de software, software factory, servicios digitales, soluciones digitales, soluciones tecnológicas, discovery, cto fraccional, aplicaciones móviles, sistemas a medida, staff augmentation, entornos web, ecommerce, blockchain y itop.",
"synchro technologies","https://www.synchro-technologies.com","https://www.linkedin.com/company/synchro-technologies","consultoria it, soporte it, gestion de proyectos, virtualizacion, base de datos, backup, kubernetes, manejo de infraestructuras it, datacenter y stdc.","buenos aires"
"system master","https://www.systemmaster.com.ar","https://www.linkedin.com/company/system-master-sa","operación financiera, originación de crédito, scoring crediticio, gestión de cartera, cobranzas, sistemas para financieras, automatización de procesos, integración con marketplaces, control operativo y rentabilidad financiera.","buenos aires"
"t-mob","https://www.t-mobs.com","https://www.linkedin.com/company/t-mob","mobile marketing, comercio electronico, apps, mobile entertainment, value added services, mobile entertainment, a2p, sim-cards y carrier billing.","buenos aires"
"tebyon consulting","https://tebyon.com","https://www.linkedin.com/company/tebyon-consulting","sap solution manager, run sap, itil, pmi, project management, application management, application lifecycle management, sap actívate , cloud alm, solman, sap alm, sap activate, conversión a s/4hana y tricentis tosca.","buenos aires"
"tecnologia 5","https://tec5.tech","https://www.linkedin.com/company/tecnologia5it","consultoria en automatizaciones ia, consultoria it, software factory, soporte it, monitoreo de red, infraestructura it, ciberseguridad, servicios cloud y staff augmentation.",
"tecnosoftware","https://tecnosoftware.com","https://www.linkedin.com/company/tecnosoftware","búsqueda y tercerización de recursos profesionales it y servicios de consultoría.","buenos aires"
"tecso","https://www.tecso.coop","https://www.linkedin.com/company/tecso","fintech, insurtech, agtech, iot, machine learning, ent to end development, consulting y staff augmentation.","buenos aires, santa fe"
"tecsolutions","https://www.tecsolutions.com.ar","https://www.linkedin.com/company/tec-solutions-software","desarrollos web de alta performance, sistemas de gestión, integración de sistemas, aplicaciones saas, soluciones mobile, php, java, laravel, html5, react, logística, inteligencia artificial, angular, erp, crm, wms, tms, android, ios, apps, software a medida, node, desarrollo de software, ux/ui, ci/cd, consultoría it, visión artificial y transformación digital.",
"teknaria","https://www.teknaria.com","https://www.linkedin.com/company/teknaria","mayorista de repuestos y accesorios, mayorista de servicios, proyectos de infraestructura, field support, energycloud y iot.","buenos aires"
"telinfor","https://telinfor.com","https://www.linkedin.com/company/telinfor-advanced-telecom","web3, telecomunicaciones y mobile gambling.","buenos aires"
"tgv","https://www.tgv.com.ar","https://www.linkedin.com/company/tgv","software factory, sap, jd edwards, j2ee, .net, mainframe, oracle, microsoft, desarrollo de software, cobol, ia, ai, rpa, assessment, app development , robotic process automation, power bi , data intelligence y erp + ia.",
"thinkion","https://thinkion.com.ar","https://www.linkedin.com/company/b-smart","soluciones inteligentes para mercados de nicho, marketing on line, liderazgo en costos, productos customizables, desarrollo de herramientas comerciales, desarrollos de sitios seo, gastronomía, sistemas de punto de venta y dashboards.","buenos aires"
"ti sistemas","https://tisistemas.com.ar","https://www.linkedin.com/company/ti-sistemas","seguridad de redes y sistemas informáticos.","buenos aires"
"top group","https://www.topgroup.tech","https://www.linkedin.com/company/topgroup-tech","soluciones para retail, desarrollo .net, desarrollo java, desarrollo mobile, srm (supplier relationship management), desarrollo de interfaces e integraciones, servicios y consultoría red hat, ux/ui, e-commerce y capacitación.",
"tps","http://tpssa.com.ar",,"microsoft dynamics 365 crm, business central y plataformas low code, automatizando procesos.",
"trinomio","https://trinom.io","https://www.linkedin.com/company/trinom-io","software development, education y tourism.",
"tsoft","https://www.tsoftglobal.com","https://www.linkedin.com/company/tsoft","gobierno y gestión de it, operación tecnológica y cloud, calidad y ciclo de vida de las aplicaciones, desarrollo seguro, gestión de proveedores de it, automatización de procesos de negocio, arquitectura empresarial y gestión de la información.","buenos aires"
"ubinet","https://www.ubinetia.com","https://www.linkedin.com/company/ubinetia","ia, inteligencia artificial, automatizaciones y tecnología.","buenos aires"
"unitech","https://www.unitech-corp.com","https://www.linkedin.com/company/unitechcorp","gobierno electrónico, justicia digital, análitica para la seguridad pública y antifraude corporativo.",
"uyr","https://www.uyr.com.ar","https://www.linkedin.com/company/u&r-consultores","it, networking, monitoring, nagios, zabbix y checkmk.",
"valtech digital","https://www.valtech.com","https://www.linkedin.com/company/valtech","digital strategy, experience & commerce platforms, connected experiences, content & campaigns, data science, emerging technology, transformation consulting, cx strategy, customer experience design, marketing automation, personalisation, commerce, product information management, connected spaces, connected devices, content strategy, business intelligence, machine learning, virtual reality, voice & conversational interfaces, agile coaching, organisation consulting, augmented reality, creative campaigns y mobile applications.","buenos aires"
"videoswitch","https://videoswitch.tv","https://www.linkedin.com/company/videoswitch","professional video, broadcasting, video and audio routing switchers, analog and digital media servers, logo generators, sdi and asi equipment, isdb-tb multiplexers, isdb-tb modulators y epg server - closed caption - ginga - oad/dvb & isdb-tb.","buenos aires"
"vision tecnologica","https://visiontecnologica.com.ar","https://www.linkedin.com/company/visiontecnologicaok","soporte técnico de pc, abonos con servicio ilimitado, licencias, limpieza de computadoras, redes, descuentos en venta de periféricos, servicio tecnico, mantenimiento de pc, hosting, backup en la nube, venta de computadoras, sucursales, servicio iso 9001, soporte it a empresas, soporte, abonos y it.","buenos aires"
"visma","http://www.visma.com","https://www.linkedin.com/company/visma","software, erp, payroll, hrm, procurement, accounting y egovernance.",
"voolkia","https://www.voolkia.com/_","https://www.linkedin.com/company/voolkia","desarrollo de software, sistemas inteligentes, stresstest, soluciones a medida, innovación abierta, inteligencia artificial, testing de aplicaciones, machine learning y nearshore software development.","buenos aires"
"vr4","https://www.vr4it.com","https://www.linkedin.com/company/vr4","ciberseguridad, devops, servicio de soporte y mantenimiento, netapp, cybersecurity, storage y cloud infraestructure.",
"wefoc","http://www.wefoc.com","https://www.linkedin.com/company/wefoc-s-a","capital humano, búsqueda y selección, selección de personal, executive search, it recruiting, it staffing, outsourcing, rpo, capacitación corporativa, consultoría en recursos humanos, desarrollo de software, software factory, inteligencia artificial y automatización.",
"widergy","https://widergy.com","https://www.linkedin.com/company/widergy","product development, customer experience, experience design, design thinking, technology, software as a service, utilities, customer engagement platform, clean energy, digital products y energy efficiency.","buenos aires"
"wirdata","https://wirdata.tech","https://www.linkedin.com/company/wirdata","servicios de datos de sistemas de ti.",
"wirsolut","http://www.wirsolut.com","https://www.linkedin.com/company/wirsolut","logistica, seguridad, integración satelital, software para logística, tecnología aplicada a logistica y seguridad, seguimiento de ruteo, track & trace logístico y track & trace seguridad.",
"witwot","https://www.witwot.com","https://www.linkedin.com/company/witwot","software, gestion de grandes operativos, mobile, logistica y supply chain.",
"xelere","https://xelere.com","https://www.linkedin.com/company/xelere","ciberseguridad, gestión de servicios, itsm, consultoria ti, seguridad de datos, gestión de identidades y accesos, detección, respuesta y mitigación de amenazas, análisis y mitigación de riesgos, digital service management, asset management y enterprise service management.","buenos aires"
"yel-informatica","https://yelsolutions.net","https://www.linkedin.com/company/yel-solutions","it user experience services (services, ia, automation), it advisory services , infrastructure services (cloud, on-premise), operations management services, information security services y it automation services.",
"znet","https://www.z-net.com.ar","https://www.linkedin.com/company/znet-it-solutions","conectividad y seguridad informática, facilities y consultoría y servicios.",
